dt,xAcc_mma7455,yAcc_mma7455,zAcc_mma7455
2020-02-19T22:01:24.757307,38,6,66
2020-02-19T22:01:24.769987,38,5,66
2020-02-19T22:01:24.782829,39,6,68
2020-02-19T22:01:24.795516,39,6,68
2020-02-19T22:01:24.808159,39,5,69
2020-02-19T22:01:24.820886,39,5,67
2020-02-19T22:01:24.833514,38,5,67
2020-02-19T22:01:24.846171,40,7,66
2020-02-19T22:01:24.858802,39,6,68
2020-02-19T22:01:24.871609,39,6,68
2020-02-19T22:01:24.884235,38,6,68
2020-02-19T22:01:24.897007,38,6,68
2020-02-19T22:01:24.909681,39,6,67
2020-02-19T22:01:24.922357,39,6,68
2020-02-19T22:01:24.934979,38,6,67
2020-02-19T22:01:24.947639,38,6,68
2020-02-19T22:01:24.960291,38,7,67
2020-02-19T22:01:24.972962,39,6,68
2020-02-19T22:01:24.985588,38,5,68
2020-02-19T22:01:24.998252,38,5,68
2020-02-19T22:01:25.011179,38,7,67
2020-02-19T22:01:25.023792,39,6,68
2020-02-19T22:01:25.036425,39,5,67
2020-02-19T22:01:25.049322,38,7,68
2020-02-19T22:01:25.062033,37,7,67
2020-02-19T22:01:25.074700,39,6,67
2020-02-19T22:01:25.087346,38,6,68
2020-02-19T22:01:25.100040,40,4,68
2020-02-19T22:01:25.112716,39,5,68
2020-02-19T22:01:25.125477,38,6,69
2020-02-19T22:01:25.138119,38,7,67
2020-02-19T22:01:25.150742,36,7,67
2020-02-19T22:01:25.163358,38,6,68
2020-02-19T22:01:25.176028,39,8,67
2020-02-19T22:01:25.188693,39,5,67
2020-02-19T22:01:25.201516,39,4,69
2020-02-19T22:01:25.214151,40,4,68
2020-02-19T22:01:25.226831,38,6,68
2020-02-19T22:01:25.239470,37,8,66
2020-02-19T22:01:25.252145,38,8,67
2020-02-19T22:01:25.264728,37,7,67
2020-02-19T22:01:25.277357,39,5,67
2020-02-19T22:01:25.289999,41,6,68
2020-02-19T22:01:25.302687,39,4,71
2020-02-19T22:01:25.315303,39,5,69
2020-02-19T22:01:25.328000,36,6,67
2020-02-19T22:01:25.340742,37,6,66
2020-02-19T22:01:25.353402,38,6,67
2020-02-19T22:01:25.366017,39,6,66
2020-02-19T22:01:25.378682,39,5,66
2020-02-19T22:01:25.391647,40,5,69
2020-02-19T22:01:25.404317,38,7,69
2020-02-19T22:01:25.416951,38,7,68
2020-02-19T22:01:25.429620,38,7,65
2020-02-19T22:01:25.442289,39,5,66
2020-02-19T22:01:25.455719,39,4,67
2020-02-19T22:01:25.468370,40,7,67
2020-02-19T22:01:25.481171,39,6,69
2020-02-19T22:01:25.493809,39,6,68
2020-02-19T22:01:25.506499,38,5,67
2020-02-19T22:01:25.519195,39,6,67
2020-02-19T22:01:25.531856,38,9,67
2020-02-19T22:01:25.544493,38,6,68
2020-02-19T22:01:25.557187,39,5,69
2020-02-19T22:01:25.569835,39,5,69
2020-02-19T22:01:25.582488,40,5,68
2020-02-19T22:01:25.595126,39,6,67
2020-02-19T22:01:25.607804,36,6,65
2020-02-19T22:01:25.620446,37,5,65
2020-02-19T22:01:25.633107,38,5,68
2020-02-19T22:01:25.645733,38,7,68
2020-02-19T22:01:25.658399,38,5,69
2020-02-19T22:01:25.671411,37,5,68
2020-02-19T22:01:25.684058,39,4,67
2020-02-19T22:01:25.696748,40,7,66
2020-02-19T22:01:25.709449,38,8,66
2020-02-19T22:01:25.722127,38,5,68
2020-02-19T22:01:25.734776,38,4,68
2020-02-19T22:01:25.747390,40,5,68
2020-02-19T22:01:25.760076,39,6,69
2020-02-19T22:01:25.772813,39,6,67
2020-02-19T22:01:25.785481,39,4,66
2020-02-19T22:01:25.798102,35,6,66
